service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1902,0,0,0,0,0,0,0,20160616,20160831
1903,0,0,0,0,0,0,0,20160616,20160831
46601,1,1,1,1,1,0,0,20160616,20160618
46602,1,1,1,1,0,0,0,20160616,20160618
46603,0,1,1,1,1,0,0,20160616,20160618
46604,0,1,1,1,1,0,0,20160616,20160618
46605,0,0,0,0,1,0,0,20160616,20160618
46606,0,0,0,0,0,1,0,20160616,20160618
46607,0,0,0,0,0,1,0,20160616,20160618
46608,0,0,0,0,0,0,1,20160616,20160618
46609,0,0,0,0,0,0,1,20160616,20160618
46610,0,0,1,1,1,1,0,20160616,20160618
46611,0,1,1,1,1,1,0,20160616,20160618
46612,0,1,1,1,1,1,0,20160616,20160618
46613,1,0,0,0,0,0,0,20160616,20160618
46614,1,0,0,0,0,0,0,20160616,20160618
46615,1,0,0,0,0,0,0,20160616,20160618
46616,0,1,0,0,0,0,0,20160616,20160618
46617,0,1,0,0,0,0,0,20160616,20160618
46618,1,0,1,1,1,0,0,20160616,20160618
46619,1,0,1,1,1,0,0,20160616,20160618
46620,0,0,1,0,0,0,0,20160616,20160618
46621,0,0,1,0,0,0,0,20160616,20160618
46622,1,1,0,1,1,0,0,20160616,20160618
46623,1,1,0,1,1,0,0,20160616,20160618
46624,0,0,0,1,0,0,0,20160616,20160618
46625,0,0,0,1,0,0,0,20160616,20160618
46626,1,1,1,0,1,0,0,20160616,20160618
46627,1,1,1,0,1,0,0,20160616,20160618
46628,0,1,1,0,0,0,0,20160616,20160618
46629,0,1,1,0,0,0,0,20160616,20160618
46630,1,0,0,1,1,0,0,20160616,20160618
46631,1,0,0,1,1,0,0,20160616,20160618
46632,1,1,0,0,1,0,0,20160616,20160618
46633,1,1,0,0,1,0,0,20160616,20160618
46634,1,1,1,1,1,0,1,20160616,20160618
46635,1,1,1,1,1,0,1,20160616,20160618
46636,1,1,1,1,1,1,0,20160616,20160618
46637,1,1,1,1,1,1,0,20160616,20160618
46638,1,1,1,1,1,1,0,20160616,20160618
46639,1,1,1,1,1,0,0,20160616,20160618
46640,1,1,1,1,0,0,1,20160616,20160618
46701,1,1,1,1,1,0,0,20160619,20160831
46702,1,1,1,1,0,0,0,20160619,20160831
46703,0,1,1,1,1,0,0,20160619,20160831
46704,0,1,1,1,1,0,0,20160619,20160831
46705,0,0,0,0,1,0,0,20160619,20160831
