service_id,date,exception_type
1902,20160625,1
1902,20160710,1
1902,20160711,1
1902,20160713,1
1903,20160709,1
46701,20160704,2
46702,20160704,2
46703,20160704,2
46704,20160705,2
46705,20160704,2
46706,20160704,2
46707,20160705,2
46708,20160705,2
46709,20160704,1
46710,20160705,2
46711,20160704,2
46712,20160705,2
46713,20160704,2
46714,20160705,2
46715,20160705,1
46716,20160704,2
46717,20160705,2
46718,20160704,2
46719,20160705,2
46720,20160704,2
46721,20160705,2
46722,20160704,2
46723,20160705,2
46724,20160704,2
46725,20160705,2
46726,20160704,2
46727,20160705,2
46728,20160704,2
46729,20160705,2
46730,20160704,2
46731,20160705,2
46732,20160704,2
46733,20160705,2
46734,20160704,2
46735,20160705,2
46736,20160704,2
46737,20160705,2
46738,20160705,1
46739,20160705,1
46740,20160704,1
105101,20160704,2
105102,20160704,2
105103,20160704,2
105104,20160705,2
105105,20160704,2
105106,20160704,2
105107,20160705,2
105108,20160705,2
105109,20160704,1
105110,20160705,2
105111,20160704,2
105112,20160705,2
105113,20160704,2
105114,20160705,2
105115,20160705,1
105116,20160704,2
105117,20160705,2
105118,20160704,2
105119,20160705,2
105120,20160704,2
105121,20160705,2
105122,20160704,2
105123,20160705,2
105124,20160704,2
105125,20160705,2
105126,20160704,2
105127,20160705,2
105128,20160704,2
105129,20160705,2
105130,20160704,2
105131,20160705,2
105132,20160704,2
105133,20160705,2
105134,20160704,2
105135,20160705,2
105136,20160704,2
105137,20160705,2
105138,20160705,1
105139,20160705,1
105140,20160704,1
205101,20160704,2
